circ_name,count_before,count_after
adder_8,732,724
barenco_tof_3,46,38
barenco_tof_4,86,68
barenco_tof_5,126,98
barenco_tof_10,326,262
csla_mux_3,164,154
csum_mux_9,308,272
gf2^4_mult,186,177
gf2^5_mult,287,277
gf2^6_mult,401,391
gf2^7_mult,543,531
gf2^8_mult,703,703
gf2^9_mult,879,873
gf2^10_mult,1062,1060
mod5_4,51,26
mod_mult_55,105,93
mod_red_21,236,202
qcla_adder_10,450,422
qcla_com_7,349,292
qcla_mod_7,727,719
rc_adder_6,174,154
tof_3,39,35
tof_4,63,55
tof_5,87,75
tof_10,207,175
vbe_adder_3,115,85
